znamka,model,generacija,verzija,višina,širina,dolžina,teža
Mazda,2,2 (DY),1.25,153.0,168.0,392.5,1125

Mazda,2,2 (DY),1.4 CRTD,153.0,168.0,392.5,1155

Mazda,2,2 (DY),1.4,154.0,168.0,392.0,1025

Mazda,2,2 (DY),1.6,153.0,168.0,392.5,1145

Mazda,2,2 (DJ),1.5 SKYACTIV-D 105HP Luxury,149.5,169.5,406.0,1115

Mazda,2,2 (DJ),1.5 SKYACTIV-D 105HP Style+ Confort,149.5,169.5,406.0,1115

Mazda,2,2 (DJ),1.5 SKYACTIV-D 105HP Style+,149.5,169.5,406.0,1115

Mazda,2,2 (DJ),1.5 SKYACTIV-G 75HP Style+ Confort,149.5,169.5,406.0,1045

Mazda,2,2 (DJ),1.5 SKYACTIV-G 75HP Style+,149.5,169.5,406.0,1045

Mazda,2,2 (DJ),1.5 SKYACTIV-G 75HP Style,149.5,169.5,406.0,1045

Mazda,2,2 (DJ),1.5 SKYACTIV-G 90HP Auto Luxury,149.5,169.5,406.0,1075

Mazda,2,2 (DJ),1.5 SKYACTIV-G 90HP Luxury,149.5,169.5,406.0,1050

Mazda,2,2 (DJ),1.5 SKYACTIV-G 90HP Style+ Confort,149.5,169.5,406.0,1050

Mazda,2,2 (DE),3-doors Active 1.3 75HP,,,,1025

Mazda,2,2 (DE),3-doors Sportive 1.5 103HP,,,,1030

Mazda,2,2 (DE),3-doors Sportive 1.6 CRTD 90HP,,,,1095

Mazda,2,2 (DE),3-doors Style 1.3 86HP,,,,1025

Mazda,2,2 (DE),3-doors Style 1.4 CRTD 68HP,,,,1045

Mazda,2,2 (DE),3-doors Style 1.6 CRTD 90HP,,,,1095

Mazda,2,2 (DE),5-doors Active 1.3 75HP,,,,1030

Mazda,2,2 (DE),5-doors Sportive 1.5 103HP,,,,1035

Mazda,2,2 (DE),5-doors Sportive 1.6 CRTD 90HP,,,,1105

Mazda,2,2 (DE),5-doors Style 1.3 86HP,,,,1030

Mazda,2,2 (DE),5-doors Style 1.4 CRTD 68HP,,,,1055

Mazda,2,2 (DE),5-doors Style 1.6 CRTD 90HP,,,,1105

Mazda,2,2 (DE),Iruka 1.3 75HP,147.5,169.5,390.0,1035

Mazda,2,2 (DE),Sakura 1.3 75HP,147.5,169.5,390.0,1035

Mazda,2,2 (DJ),SKYACTIV-D 1.5 105HP,149.5,169.5,406.0,1115

Mazda,2,2 (DJ),SKYACTIV-G 1.5 115HP i-ELOOP,149.5,169.5,406.0,1055

Mazda,2,2 (DJ),SKYACTIV-G 1.5 90HP Auto,149.5,169.5,406.0,1075

Mazda,2,2 (DJ),SKYACTIV-G 1.5 90HP,149.5,169.5,406.0,1050

Mazda,2,2 (MY20),SkyActiv-G 75,149.5,169.5,407.0,996

Mazda,2,2 (MY20),SkyActiv-G 90 Auto,149.5,169.5,407.0,1012

Mazda,2,2 (MY20),SkyActiv-G 90,149.5,169.5,407.0,996

Maserati,2.24v,,Maserati 2.24v,130.5,171.4,419,1240

Renault,20,,1.6 TL,144.0,173.0,452.0,1185

Renault,20,,2.0 LS/TS,144.0,173.0,452.0,1175

Renault,20,,2.2 TX,144.0,173.0,452.0,1220

Renault,20,,TD/GTD,144.0,173.0,452.0,1250

Audi,200,200 (type 44),2.2 l,142.2,181.4,480.7,1260

Audi,200,200 (type 44),2.2l Turbo Quattro 20v,142.0,181.0,481.0,1520

Audi,200,200 (type 44),2.2l Turbo Quattro,142.0,181.0,481.0,1410

Audi,200,200 (type 44),2.2l Turbo,142.0,181.0,481.0,1300

Chrysler,200,200,2.4 LX,148.3,184.2,486.9,1537

Chrysler,200,200,2.4 Touring,148.3,184.2,486.9,

Chrysler,200,200,3.6 Touring,148.3,184.2,486.9,1614

Audi,200,200 (type 43),5/E,139.0,177.0,470.0,1260

Audi,200,200 (type 43),5/T,139.0,177.0,470.0,1260

Rover,200 Cabriolet,,214,139.0,168.0,422.0,1071

Rover,200 Cabriolet,,216,139.0,168.0,422.0,1112

Rover,200 I,,1.3,138.0,162.0,416.0,870

Rover,200 I,,1.6 EFi,138.0,162.0,416.0,945

Rover,200 I,,1.6,138.0,162.0,416.0,945

Rover,200 II,,214 Si,140.0,168.0,422.0,1065

Rover,200 II,,214i,140.0,168.0,422.0,1001

Rover,200 II,,216 GSi,140.0,168.0,422.0,1110

Rover,200 II,,218 GSD Turbo,140.0,168.0,422.0,1187

Rover,200 II 3 door,,214 Si,140.0,168.0,422.0,1000

Rover,200 II 3 door,,214i,140.0,168.0,422.0,981

Rover,200 II 3 door,,216 GTi,140.0,168.0,422.0,1110

Rover,200 II 3 door,,220 GSi,140.0,168.0,422.0,1147

Rover,200 II 3 door,,220 GTI,140.0,168.0,422.0,1147

Rover,200 II Coupe,,216,137.0,168.0,427.0,1085

Rover,200 II Coupe,,220 Turbo,139.0,168.0,422.0,1185

Rover,200 II Coupe,,220,137.0,168.0,427.0,1147

Rover,200 III,,200 BRM,140.0,169.0,397.0,1070

Rover,200 III,,200Vi,142.0,169.0,397.0,1012

Rover,200 III,,214 Si,142.0,169.0,397.0,963

Rover,200 III,,214i,142.0,169.0,397.0,963

Rover,200 III,,216,142.0,169.0,397.0,1000

Rover,200 III,,220 D,142.0,169.0,397.0,1083

Rover,200 III,,220 TD,142.0,169.0,397.0,1083

Nissan,200SX / Silvia,200 SX S13,1.8 Turbo,129.0,169.0,454.0,1190

Nissan,200SX / Silvia,200 SX S14,2.0 Turbo,130.0,173.0,452.0,1240

Nissan,200SX / Silvia,200 SX S15,2.0 Turbo,130.0,173.0,452.0,1240

Alfa Romeo,2000,2000 (Tipo 102),Berlina,143,170,471,1337

Alfa Romeo,2000,2000 Berlina,Alfa Romeo 2000 Berlina,143.5,156.2,439.4,1107

BMW,2000,,SA,139,161,441.5,1020

Alfa Romeo,2000,2000 Sportiva Coupe,Alfa Romeo 2000 Sportiva Coupe,112,154,416,915

BMW,2000 TI Coupe,,BMW 2000 TI Coupe,125,171.9,455.9,

BMW,2004,,BMW 2004,139,161,441.5,1020

Peugeot,2008,2008,1.2 e-VTi 82 CMP Blue Lion Allure,155.6,173.9,415.9,1130

Peugeot,2008,2008 II,1.2 PureTech 100,153,177,430,1167

Peugeot,2008,2008,1.2 PureTech 110 Active,155.6,173.9,415.9,1165

Peugeot,2008,2008,1.2 PureTech 110 Allure,155.6,173.9,415.9,1165

Peugeot,2008,2008,1.2 PureTech 110 Crossway,155.6,173.9,415.9,1165

Peugeot,2008,2008,1.2 PureTech 110 Style,155.6,173.9,415.9,1165

Peugeot,2008,2008,1.2 PureTech 130 Allure,155.6,173.9,415.9,1235

