verzija,leto
1.4 TL,1983
1.4 TL,1984
1.4 TL,1985
1.4 TL,1986
1.6 GTL,1981
1.6 GTL,1982
1.6 GTL,1983
1.6 GTL,1984
1.6 GTL,1985
1.6 GTL,1986
1.6 TS/GTS,1980
1.6 TS/GTS,1981
1.6 TS/GTS,1982
1.6 TS/GTS,1983
1.6 TS/GTS,1984
1.6 TS/GTS,1985
1.6 TS/GTS,1986
1.6,1978
1.6,1979
1.6,1980
1.6,1981
2.0 Automatic,1983
2.0 Automatic,1984
2.0 Automatic,1985
2.0 Automatic,1986
2.0 GTX Type 2,1980
2.0 GTX Type 2,1981
2.0 GTX Type 2,1982
2.0 GTX Type 2,1983
2.0 GTX Type 2,1984
2.0 GTX Type 2,1985
2.0 GTX Type 2,1986
2.0 TX/GTX,1983
2.0 TX/GTX,1984
2.0 TX/GTX,1985
2.0 TX/GTX,1986
TD/GTD,1984
TD/GTD,1985
TD/GTD,1986
TL Break,1978
TS Break 5-Speed,1978
TS Break,1978
Turbo-D Type 2,1981
Turbo-D Type 2,1982
Turbo-D Type 2,1983
Turbo-D Type 2,1984
Turbo-D Type 2,1985
Turbo-D Type 2,1986
Turbo Type 2,1983
Turbo Type 2,1984
Turbo Type 2,1985
Turbo,1980
Turbo,1981
Turbo,1982
Turbo,1983
1.8 16v,1992
1.8 16v,1993
1.8 16v,1994
1.8 16v,1995
1.8 RSi,1995
1.8 RSi,1996
1.8,1992
1.8,1993
1.8,1994
1.8,1995
1.8,1996
1.4 TR/GTR,1989
1.4 TR/GTR,1990
1.4 TR/GTR,1991
1.4 TR/GTR,1992
1.4 TS/GTS Energy,1989
1.4 TS/GTS Energy,1990
1.7 GTX/TXE,1989
1.7 GTX/TXE,1990
1.7 GTX/TXE,1991
1.7 GTX/TXE,1992
1.7 TS/GTS,1989
1.7 TS/GTS,1990
1.7 TS/GTS,1991
1.7 TS/GTS,1992
16v,1990
16v,1991
16v,1992
TD/GTD,1989
TD/GTD,1990
TD/GTD,1991
TD/GTD,1992
Turbo D,1991
Turbo D,1992
Alfa Romeo 1900 Berlina,1950
Super,1954
AR 51 La Matta,1952
Inter,1950
Inter,1951
Sport,1950
Sport,1951
1.25,2002
1.25,2003
1.25,2004
1.25,2005
1.25,2006
1.25,2007
1.4 CRTD,2002
1.4 CRTD,2003
1.4 CRTD,2004
1.4 CRTD,2005
1.4 CRTD,2006
1.4 CRTD,2007
1.4,2003
1.4,2004
1.4,2005
1.4,2006
1.4,2007
1.6,2002
1.6,2003
1.6,2004
1.6,2005
1.6,2006
1.6,2007
1.5 SKYACTIV-D 105HP Luxury,2015
1.5 SKYACTIV-D 105HP Luxury,2016
1.5 SKYACTIV-D 105HP Luxury,2017
1.5 SKYACTIV-D 105HP Luxury,2018
1.5 SKYACTIV-D 105HP Luxury,2019
1.5 SKYACTIV-D 105HP Style+ Confort,2015
1.5 SKYACTIV-D 105HP Style+ Confort,2016
1.5 SKYACTIV-D 105HP Style+ Confort,2017
1.5 SKYACTIV-D 105HP Style+ Confort,2018
1.5 SKYACTIV-D 105HP Style+ Confort,2019
1.5 SKYACTIV-D 105HP Style+,2015
1.5 SKYACTIV-D 105HP Style+,2016
1.5 SKYACTIV-D 105HP Style+,2017
1.5 SKYACTIV-D 105HP Style+,2018
1.5 SKYACTIV-D 105HP Style+,2019
1.5 SKYACTIV-G 75HP Style+ Confort,2015
1.5 SKYACTIV-G 75HP Style+ Confort,2016
1.5 SKYACTIV-G 75HP Style+ Confort,2017
1.5 SKYACTIV-G 75HP Style+ Confort,2018
1.5 SKYACTIV-G 75HP Style+ Confort,2019
1.5 SKYACTIV-G 75HP Style+,2015
1.5 SKYACTIV-G 75HP Style+,2016
1.5 SKYACTIV-G 75HP Style+,2017
1.5 SKYACTIV-G 75HP Style+,2018
1.5 SKYACTIV-G 75HP Style+,2019
1.5 SKYACTIV-G 75HP Style,2015
1.5 SKYACTIV-G 75HP Style,2016
1.5 SKYACTIV-G 75HP Style,2017
1.5 SKYACTIV-G 75HP Style,2018
1.5 SKYACTIV-G 75HP Style,2019
1.5 SKYACTIV-G 90HP Auto Luxury,2015
1.5 SKYACTIV-G 90HP Auto Luxury,2016
1.5 SKYACTIV-G 90HP Auto Luxury,2017
1.5 SKYACTIV-G 90HP Auto Luxury,2018
1.5 SKYACTIV-G 90HP Auto Luxury,2019
1.5 SKYACTIV-G 90HP Luxury,2015
1.5 SKYACTIV-G 90HP Luxury,2016
1.5 SKYACTIV-G 90HP Luxury,2017
1.5 SKYACTIV-G 90HP Luxury,2018
1.5 SKYACTIV-G 90HP Luxury,2019
1.5 SKYACTIV-G 90HP Style+ Confort,2015
1.5 SKYACTIV-G 90HP Style+ Confort,2016
1.5 SKYACTIV-G 90HP Style+ Confort,2017
1.5 SKYACTIV-G 90HP Style+ Confort,2018
1.5 SKYACTIV-G 90HP Style+ Confort,2019
3-doors Active 1.3 75HP,2010
3-doors Active 1.3 75HP,2011
3-doors Active 1.3 75HP,2012
3-doors Active 1.3 75HP,2013
3-doors Active 1.3 75HP,2014
3-doors Active 1.3 75HP,2015
3-doors Sportive 1.5 103HP,2010
3-doors Sportive 1.5 103HP,2011
3-doors Sportive 1.5 103HP,2012
3-doors Sportive 1.5 103HP,2013
3-doors Sportive 1.5 103HP,2014
3-doors Sportive 1.5 103HP,2015
3-doors Sportive 1.6 CRTD 90HP,2010
3-doors Sportive 1.6 CRTD 90HP,2011
3-doors Sportive 1.6 CRTD 90HP,2012
3-doors Sportive 1.6 CRTD 90HP,2013
3-doors Sportive 1.6 CRTD 90HP,2014
3-doors Sportive 1.6 CRTD 90HP,2015
3-doors Style 1.3 86HP,2010
3-doors Style 1.3 86HP,2011
3-doors Style 1.3 86HP,2012
3-doors Style 1.3 86HP,2013
3-doors Style 1.3 86HP,2014
3-doors Style 1.3 86HP,2015
3-doors Style 1.4 CRTD 68HP,2010
3-doors Style 1.4 CRTD 68HP,2011
3-doors Style 1.4 CRTD 68HP,2012
3-doors Style 1.4 CRTD 68HP,2013
3-doors Style 1.4 CRTD 68HP,2014
3-doors Style 1.4 CRTD 68HP,2015
3-doors Style 1.6 CRTD 90HP,2010
3-doors Style 1.6 CRTD 90HP,2011
3-doors Style 1.6 CRTD 90HP,2012
3-doors Style 1.6 CRTD 90HP,2013
3-doors Style 1.6 CRTD 90HP,2014
3-doors Style 1.6 CRTD 90HP,2015
5-doors Active 1.3 75HP,2010
