znamka,model,generacija,verzija,prvo leto proizvodnje,gorivo,poravnava motorja,prostornina motorja,moč motorja,prisilno polnenje motorja,pospesevanje,max hitrost,navor,emisije,poraba
Land Rover,Defender,110,2.2,1984.0,Petrol,,2286.0,74.0,,,120.0,163.0,,

Land Rover,Defender,110,V8,1983.0,Petrol,,3528.0,114.0,,,130.0,251.0,,

Renault,12,,1300 Automatic,1976.0,Petrol,,1289.0,61.0,,,,,,

Renault,12,,1300 Estate,1969.0,Petrol,,1289.0,55.0,,,,,,

Renault,12,,1300 L,1976.0,Petrol,,1289.0,51.0,,,,,,

Renault,12,,1300 TS,1969.0,Petrol,,1289.0,61.0,,,154.0,,,

Renault,12,,1300,1969.0,Petrol,,1289.0,55.0,,,143.0,,,

Renault,12,,Gordini,1970.0,Petrol,,1565.0,113.0,,,185.0,,,

Skoda,120,,L/LS,1983.0,Petrol,,1174.0,53.0,,19.0,140.0,85.0,,7.9

Skoda,120,,L,1980.0,Petrol,,1174.0,53.0,,,140.0,,,

Skoda,120,,LS - GLS,1976.0,Petrol,,1174.0,58.0,,,139.0,90.0,,6.4

Skoda,1202,,Estate,1963.0,Petrol,,1221.0,44.0,,,100.0,,,

Mazda,121 (Cosmo AP/RX 5),,Coupe,1979.0,Petrol,,1970.0,87.0,,12.0,178.0,160.0,,10.0

Mazda,121 I,,1.1 5sp,1988.0,Petrol,,1138.0,54.0,,13.6,150.0,87.0,,6.7

Mazda,121 I,,1.1,1988.0,Petrol,,1138.0,54.0,,13.6,150.0,87.0,,6.9

Mazda,121 I,,1.3 Cabrio Top,1988.0,Petrol,,1324.0,60.0,,12.0,150.0,100.0,,7.3

Mazda,121 I,,1.3,1988.0,Petrol,,1324.0,60.0,,12.0,150.0,100.0,,7.3

Mazda,121 II,,1.3i Cabrio Top,1991.0,Petrol,,1324.0,73.0,,11.4,155.0,106.0,,6.6

Mazda,121 II,,1.3i,1991.0,Petrol,,1324.0,54.0,,13.7,153.0,99.0,,6.5

Mazda,121 III,,1.25i auto,1996.0,Petrol,,1242.0,75.0,,15.6,160.0,110.0,,6.7

Mazda,121 III,,1.25i Cabrio Top,1996.0,Petrol,,1242.0,75.0,,12.5,170.0,110.0,155.0,7.1

Mazda,121 III,,1.25i,2000.0,Petrol,,1242.0,75.0,,12.5,170.0,110.0,155.0,6.5

Mazda,121 III,,1.3i,2000.0,Petrol,,1299.0,60.0,,15.9,155.0,103.0,162.0,6.8

Mazda,121 III,,1.8 D,1996.0,Diesel,,1753.0,60.0,,17.4,155.0,110.0,,6.1

Mazda,121 III,,1.8 TD,2000.0,Diesel,,1753.0,75.0,,17.4,155.0,110.0,,5.9

Volvo,120 Amazon,122,B16,1957.0,Petrol,,1582.0,67.0,,,,,,

